United Nations,Swineflu,Centroids,Country,Wikipedia,
Syrian Arab Republic,Syria,Syria,Syrian Arab Republic,Syria,
Tajikistan,,Tajikistan,,Tajikistan,
Thailand,Thailand,Thailand,Thailand,Thailand,
Timor-Leste,,Timor-Leste,Timor-Leste,Timor-Leste,
Togo,Trinidad and Tobago,Togo,Togo,,
Tokelau,,,,,
Tonga,,Tonga,,Tonga,
Trinidad and Tobago,,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,
Tunisia,Tunisia,Tunisia,Tunisia,Tunisia,
Turkey,Turkey,Turkey,Turkey,Turkey,
Turkmenistan,,Turkmenistan,,,
Turks and Caicos Islands,,Turks and Caicos Is.,,Turks and Caicos Islands (UK),
Tuvalu,,,,Tuvalu,
Uganda,Uganda,Uganda,Uganda,Uganda,
Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,
United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,
United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,
United Kingdom,"United Kingdom, Jersey, Crown Dependency",,,Jersey (UK),
United Kingdom,"Guernsey, Crown Dependency",,,Guernsey (UK),
United Kingdom,"Jersey, Crown Dependency",,,,
United Republic of Tanzania,,Tanzania,United Republic of Tanzania,Tanzania,
United States of America,United States of America,United States,United States of America,United States,
United States Virgin Islands,Virgin Islands,U.S. Virgin Is.,,,
Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,
Uzbekistan,,Uzbekistan,Uzbekistan,,
Vanuatu,Vanuatu,Vanuatu,,Vanuatu,
Venezuela (Bolivarian Republic of),Venezuela,Venezuela,Venezuela (Bolivarian Republic of),Venezuela,
Viet Nam,Viet Nam,Vietnam,Viet Nam,Vietnam,
Wallis and Futuna Islands,,Wallis and Futuna Is.,,,
Western Sahara,,W. Sahara,,,
Yemen,Yemen,Yemen,,Yemen,
Zambia,,Zambia,Zambia,Zambia,
Zimbabwe,,Zimbabwe,Zimbabwe,Zimbabwe,
